,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
313,9011,0.025,0.021,0.066,0.142,0.747
314,9013,0.008,0.008,0.027000000000000003,0.147,0.81
315,9015,0.022000000000000002,0.040999999999999995,0.08199999999999999,0.13699999999999998,0.718
316,10001,0.026000000000000002,0.006,0.106,0.051,0.8109999999999999
317,10003,0.027000000000000003,0.013000000000000001,0.040999999999999995,0.133,0.7859999999999999
318,10005,0.005,0.001,0.035,0.10300000000000001,0.856
319,11001,0.012,0.013000000000000001,0.069,0.16399999999999998,0.743
320,12001,0.001,0.024,0.053,0.17,0.7509999999999999
321,12003,0.087,0.076,0.18,0.215,0.442
322,12005,0.065,0.109,0.076,0.20199999999999999,0.5479999999999999
323,12007,0.106,0.168,0.172,0.17300000000000001,0.381
324,12009,0.068,0.073,0.096,0.157,0.607
325,12011,0.026000000000000002,0.023,0.043,0.11699999999999999,0.7909999999999999
326,12013,0.034,0.055,0.138,0.267,0.507
327,12015,0.051,0.049,0.10099999999999999,0.158,0.64
328,12017,0.09,0.036000000000000004,0.087,0.17800000000000002,0.609
329,12019,0.055,0.067,0.15,0.209,0.52
330,12021,0.04,0.023,0.067,0.212,0.6579999999999999
331,12023,0.047,0.026000000000000002,0.28800000000000003,0.254,0.385
332,12027,0.023,0.064,0.055999999999999994,0.142,0.715
333,12029,0.071,0.095,0.11900000000000001,0.318,0.397
334,12031,0.049,0.042,0.086,0.19399999999999998,0.629
335,12033,0.019,0.052000000000000005,0.095,0.31,0.524
336,12035,0.079,0.05,0.113,0.157,0.602
337,12037,0.022000000000000002,0.10099999999999999,0.237,0.228,0.41200000000000003
338,12039,0.06,0.033,0.10400000000000001,0.22699999999999998,0.575
339,12041,0.016,0.151,0.069,0.324,0.44
340,12043,0.047,0.08199999999999999,0.098,0.096,0.677
341,12045,0.046,0.125,0.12,0.249,0.46
342,12047,0.10099999999999999,0.071,0.235,0.22699999999999998,0.365
343,12049,0.114,0.040999999999999995,0.179,0.18600000000000003,0.48
344,12051,0.046,0.042,0.11199999999999999,0.15,0.65
345,12053,0.09,0.04,0.091,0.19,0.589
346,12055,0.025,0.055999999999999994,0.145,0.138,0.635
347,12057,0.023,0.031,0.069,0.155,0.722
348,12059,0.17,0.077,0.081,0.111,0.562
349,12061,0.054000000000000006,0.065,0.08199999999999999,0.193,0.607
